Title,abstract,Processed_Title,Processed_Abstract
Dialogue Concerning The Two Chief World Views,"In 1632, Galileo Galilei wrote a book called \textit{Dialogue Concerning the Two Chief World Systems} which compared the new Copernican model of the universe with the old Ptolemaic model. His book took the form of a dialogue between three philosophers, Salviati, a proponent of the Copernican model, Simplicio, a proponent of the Ptolemaic model, and Sagredo, who was initially open-minded and neutral. In this paper, I am going to use Galileo's idea to present a dialogue between three modern philosophers, Mr. Spock, a proponent of the view that $\mathsf{P} \neq \mathsf{NP}$, Professor Simpson, a proponent of the view that $\mathsf{P} = \mathsf{NP}$, and Judge Wapner, who is initially open-minded and neutral.",dialogue concerning two chief world views,galileo galilei wrote book called textitdialogue concerning two chief world systems compared new copernican model universe old ptolemaic model book took form dialogue three philosophers salviati proponent copernican model simplicio proponent ptolemaic model sagredo initially openminded neutral paper going use galileos idea present dialogue three modern philosophers mr spock proponent view mathsfp neq mathsfnp professor simpson proponent view mathsfp mathsfnp judge wapner initially openminded neutral
Retracing and assessing the CEP project,"The last decade witnessed a renewed interest in the development of the Italian computer industry and in the role of the Fifties pioneers in Rome, Milan, Ivrea, and Pisa. The aim of the paper is to retrace some steps of the CEP project, carried out by the University of Pisa in collaboration with Olivetti, by reassessing the documents preserved in the University archives. The project was a seminal enterprise for Italy, and among its accomplishments it delivered in 1957 the first Italian computer. The mix of public sector funding and industrial foretelling witnessed by the project is one of the leading examples in Italy of best practices, and its success paved the way for the birth of Computer Science in the country as an industry as well as a scientific discipline.",retracing assessing cep project,last decade witnessed renewed interest development italian computer industry role fifties pioneers rome milan ivrea pisa aim paper retrace steps cep project carried university pisa collaboration olivetti reassessing documents preserved university archives project seminal enterprise italy among accomplishments delivered first italian computer mix public sector funding industrial foretelling witnessed project one leading examples italy best practices success paved way birth computer science country industry well scientific discipline
A Template and Suggestions for Writing Easy-to-Read Research Articles,"The number of research papers written has been growing at least linearly -- if not exponentially -- in recent years. In proportion, the amount of time a reader allocates per paper has been decreasing. While an accessible paper will be appreciated by a large audience, hard-to-read papers may remain obscure for a long time regardless of scientific merit. Unfortunately, there is still insufficient emphasis on good written and oral communication skills in technical disciplines, especially in engineering.   As an academic, I have realised over the years that I keep telling my students the same things over and over again when they write papers, reports, presentations, and theses. This article contains some of those suggestions and serves as a limited template for organising research articles. I have adopted a very practical and personal approach and don't claim that this is a formal contribution to the scientific communication literature. However, I hope that this article will not only make my life a bit easier but also help other graduate students and academic supervisors.",template suggestions writing easytoread research articles,number research papers written growing least linearly exponentially recent years proportion amount time reader allocates per paper decreasing accessible paper appreciated large audience hardtoread papers may remain obscure long time regardless scientific merit unfortunately still insufficient emphasis good written oral communication skills technical disciplines especially engineering academic realised years keep telling students things write papers reports presentations theses article contains suggestions serves limited template organising research articles adopted practical personal approach dont claim formal contribution scientific communication literature however hope article make life bit easier also help graduate students academic supervisors
"Artificial Intelligence, Chaos, Prediction and Understanding in Science","Machine learning and deep learning techniques are contributing much to the advancement of science. Their powerful predictive capabilities appear in numerous disciplines, including chaotic dynamics, but they miss understanding. The main thesis here is that prediction and understanding are two very different and important ideas that should guide us about the progress of science. Furthermore, it is emphasized the important role played by that nonlinear dynamical systems for the process of understanding. The path of the future of science will be marked by a constructive dialogue between big data and big theory, without which we cannot understand.",artificial intelligence chaos prediction understanding science,machine learning deep learning techniques contributing much advancement science powerful predictive capabilities appear numerous disciplines including chaotic dynamics miss understanding main thesis prediction understanding two different important ideas guide us progress science furthermore emphasized important role played nonlinear dynamical systems process understanding path future science marked constructive dialogue big data big theory without cannot understand
From the digital data revolution to digital health and digital economy   toward a digital society: Pervasiveness of Artificial Intelligence,"Technological progress has led to powerful computers and communication technologies that penetrate nowadays all areas of science, industry and our private lives. As a consequence, all these areas are generating digital traces of data amounting to big data resources. This opens unprecedented opportunities but also challenges toward the analysis, management, interpretation and utilization of these data. Fortunately, recent breakthroughs in deep learning algorithms complement now machine learning and statistics methods for an efficient analysis of such data. Furthermore, advances in text mining and natural language processing, e.g., word-embedding methods, enable also the processing of large amounts of text data from diverse sources as governmental reports, blog entries in social media or clinical health records of patients. In this paper, we present a perspective on the role of artificial intelligence in these developments and discuss also potential problems we are facing in a digital society.",digital data revolution digital health digital economy toward digital society pervasiveness artificial intelligence,technological progress led powerful computers communication technologies penetrate nowadays areas science industry private lives consequence areas generating digital traces data amounting big data resources opens unprecedented opportunities also challenges toward analysis management interpretation utilization data fortunately recent breakthroughs deep learning algorithms complement machine learning statistics methods efficient analysis data furthermore advances text mining natural language processing eg wordembedding methods enable also processing large amounts text data diverse sources governmental reports blog entries social media clinical health records patients paper present perspective role artificial intelligence developments discuss also potential problems facing digital society
Edsger Dijkstra. The Man Who Carried Computer Science on His Shoulders,This a biographical essay about Edsger Wybe Dijkstra.,edsger dijkstra man carried computer science shoulders,biographical essay edsger wybe dijkstra
A Guide for New Program Committee Members at Theoretical Computer   Science Conferences,"In theoretical computer science, conferences play an important role in the scientific process. The decisions whether to accept or reject articles is taken by the program committee (PC) members. Serving on a PC for the first time can be a daunting experience. This guide will help new program-committee members to understand how the system works, and provide useful tips and guidelines. It discusses every phase of the paper-selection process, and the tasks associated to it.",guide new program committee members theoretical computer science conferences,theoretical computer science conferences play important role scientific process decisions whether accept reject articles taken program committee pc members serving pc first time daunting experience guide help new programcommittee members understand system works provide useful tips guidelines discusses every phase paperselection process tasks associated
Human-Machine Interaction in the Light of Turing and Wittgenstein,"We propose a study of the constitution of meaning in human-computer interaction based on Turing and Wittgenstein's definitions of thought, understanding, and decision. We show by the comparative analysis of the conceptual similarities and differences between the two authors that the common sense between humans and machines is co-constituted in and from action and that it is precisely in this co-constitution that lies the social value of their interaction. This involves problematizing human-machine interaction around the question of what it means to ""follow a rule"" to define and distinguish the interpretative modes and decision-making behaviors of each. We conclude that the mutualization of signs that takes place through the human-machine dialogue is at the foundation of the constitution of a computerized society.",humanmachine interaction light turing wittgenstein,propose study constitution meaning humancomputer interaction based turing wittgensteins definitions thought understanding decision show comparative analysis conceptual similarities differences two authors common sense humans machines coconstituted action precisely coconstitution lies social value interaction involves problematizing humanmachine interaction around question means follow rule define distinguish interpretative modes decisionmaking behaviors conclude mutualization signs takes place humanmachine dialogue foundation constitution computerized society
Paths to Unconventional Computing: Causality in Complexity,"I describe my path to unconventionality in my exploration of theoretical and applied aspects of computation towards revealing the algorithmic and reprogrammable properties and capabilities of the world, in particular related to applications of algorithmic complexity in reshaping molecular biology and tackling the challenges of causality in science.",paths unconventional computing causality complexity,describe path unconventionality exploration theoretical applied aspects computation towards revealing algorithmic reprogrammable properties capabilities world particular related applications algorithmic complexity reshaping molecular biology tackling challenges causality science
Edsger W. Dijkstra: a Commemoration,"This article is a multiauthored portrait of Edsger Wybe Dijkstra that consists of testimonials written by several friends, colleagues, and students of his. It provides unique insights into his personality, working style and habits, and his influence on other computer scientists, as a researcher, teacher, and mentor.",edsger w dijkstra commemoration,article multiauthored portrait edsger wybe dijkstra consists testimonials written several friends colleagues students provides unique insights personality working style habits influence computer scientists researcher teacher mentor
What Kind of Person Wins the Turing Award?,"Computer science has grown rapidly since its inception in the 1950s and the pioneers in the field are celebrated annually by the A.M. Turing Award. In this paper, we attempt to shed light on the path to influential computer scientists by examining the characteristics of the 72 Turing Award laureates. To achieve this goal, we build a comprehensive dataset of the Turing Award laureates and analyze their characteristics, including their personal information, family background, academic background, and industry experience. The FP-Growth algorithm is used for frequent feature mining. Logistic regression plot, pie chart, word cloud and map are generated accordingly for each of the interesting features to uncover insights regarding personal factors that drive influential work in the field of computer science. In particular, we show that the Turing Award laureates are most commonly white, male, married, United States citizen, and received a PhD degree. Our results also show that the age at which the laureate won the award increases over the years; most of the Turing Award laureates did not major in computer science; birth order is strongly related to the winners' success; and the number of citations is not as important as one would expect.",kind person wins turing award,computer science grown rapidly since inception pioneers field celebrated annually turing award paper attempt shed light path influential computer scientists examining characteristics turing award laureates achieve goal build comprehensive dataset turing award laureates analyze characteristics including personal information family background academic background industry experience fpgrowth algorithm used frequent feature mining logistic regression plot pie chart word cloud map generated accordingly interesting features uncover insights regarding personal factors drive influential work field computer science particular show turing award laureates commonly white male married united states citizen received phd degree results also show age laureate award increases years turing award laureates major computer science birth order strongly related winners success number citations important one would expect
Data Science in Perspective,"Data and Science has stood out in the generation of results, whether in the projects of the scientific domain or business domain. CERN Project, Scientific Institutes, companies like Walmart, Google, Apple, among others, need data to present their results and make predictions in the competitive data world. Data and Science are words that together culminated in a globally recognized term called Data Science. Data Science is in its initial phase, possibly being part of formal sciences and also being presented as part of applied sciences, capable of generating value and supporting decision making. Data Science considers science and, consequently, the scientific method to promote decision making through data intelligence. In many cases, the application of the method (or part of it) is considered in Data Science projects in scientific domain (social sciences, bioinformatics, geospatial projects) or business domain (finance, logistic, retail), among others. In this sense, this article addresses the perspectives of Data Science as a multidisciplinary area, considering science and the scientific method, and its formal structure which integrate Statistics, Computer Science, and Business Science, also taking into account Artificial Intelligence, emphasizing Machine Learning, among others. The article also deals with the perspective of applied Data Science, since Data Science is used for generating value through scientific and business projects. Data Science persona is also discussed in the article, concerning the education of Data Science professionals and its corresponding profiles, since its projection changes the field of data in the world.",data science perspective,data science stood generation results whether projects scientific domain business domain cern project scientific institutes companies like walmart google apple among others need data present results make predictions competitive data world data science words together culminated globally recognized term called data science data science initial phase possibly part formal sciences also presented part applied sciences capable generating value supporting decision making data science considers science consequently scientific method promote decision making data intelligence many cases application method part considered data science projects scientific domain social sciences bioinformatics geospatial projects business domain finance logistic retail among others sense article addresses perspectives data science multidisciplinary area considering science scientific method formal structure integrate statistics computer science business science also taking account artificial intelligence emphasizing machine learning among others article also deals perspective applied data science since data science used generating value scientific business projects data science persona also discussed article concerning education data science professionals corresponding profiles since projection changes field data world
"Moore's Law is dead, long live Moore's Law!",Moore's Law has been used by semiconductor industry as predicative indicators of the industry and it has become a self-fulfilling prophecy. Now more people tend to agree that the original Moore's Law started to falter. This paper proposes a possible quantitative modification to Moore's Law. It can cover other derivative laws of Moore's Law as well. It intends to more accurately predict the roadmap of chip's performance and energy consumption.,moores law dead long live moores law,moores law used semiconductor industry predicative indicators industry become selffulfilling prophecy people tend agree original moores law started falter paper proposes possible quantitative modification moores law cover derivative laws moores law well intends accurately predict roadmap chips performance energy consumption
50 Years of Computational Complexity: Hao Wang and the Theory of   Computation,"If Turing's groundbreaking paper in 1936 laid the foundation of the theory of computation (ToC), it is no exaggeration to say that Cook's paper in 1971, ""The complexity of theorem proving procedures"", [4] has pioneered the study of computational complexity. So computational complexity, as an independent research field, is 50 years old now (2021) if we date from Cook's article. This year coincides with the 100th birthday of Cook's mentor Hao Wang, one of the most important logicians. This paper traces the origin of computational complexity, and meanwhile, tries to sort out the instrumental role that Wang played in the process.",years computational complexity hao wang theory computation,turings groundbreaking paper laid foundation theory computation toc exaggeration say cooks paper complexity theorem proving procedures pioneered study computational complexity computational complexity independent research field years old date cooks article year coincides th birthday cooks mentor hao wang one important logicians paper traces origin computational complexity meanwhile tries sort instrumental role wang played process
Mary Kenneth Keller: First US PhD in Computer Science,"In June 1965, Sister Mary Kenneth Keller, BVM, received the first US PhD in Computer Science, and this paper outlines her life and accomplishments. As a scholar, she has the distinction of being an early advocate of learning-by-example in artificial intelligence. Her main scholarly contribution was in shaping computer science education in high schools and small colleges. She was an evangelist for viewing the computer as a symbol manipulator, for providing computer literacy to everyone, and for the use of computers in service to humanity. She was far ahead of her time in working to ensure a place for women in technology and in eliminating barriers preventing their participation, such as poor access to education and daycare. She was a strong and spirited woman, a visionary in seeing how computers would revolutionize our lives. A condensation of this paper appeared as, ``The Legacy of Mary Kenneth Keller, First U.S. Ph.D. in Computer Science,"" Jennifer Head and Dianne P. O'Leary, IEEE Annals of the History of Computing 45(1):55--63, January-March 2023.",mary kenneth keller first us phd computer science,june sister mary kenneth keller bvm received first us phd computer science paper outlines life accomplishments scholar distinction early advocate learningbyexample artificial intelligence main scholarly contribution shaping computer science education high schools small colleges evangelist viewing computer symbol manipulator providing computer literacy everyone use computers service humanity far ahead time working ensure place women technology eliminating barriers preventing participation poor access education daycare strong spirited woman visionary seeing computers would revolutionize lives condensation paper appeared legacy mary kenneth keller first us phd computer science jennifer head dianne p oleary ieee annals history computing januarymarch
Decentralized Infrastructure for (Neuro)science,"The most pressing problems in science are neither empirical nor theoretical, but infrastructural. Scientific practice is defined by coproductive, mutually reinforcing infrastructural deficits and incentive systems that everywhere constrain and contort our art of curiosity in service of profit and prestige. Our infrastructural problems are not unique to science, but reflective of the broader logic of digital enclosure where platformatized control of information production and extraction fuels some of the largest corporations in the world. I have taken lessons learned from decades of intertwined digital cultures within and beyond academia like wikis, pirates, and librarians in order to draft a path towards more liberatory infrastructures for both science and society. Based on a system of peer-to-peer linked data, I sketch interoperable systems for shared data, tools, and knowledge that map onto three domains of platform capture: storage, computation and communication. The challenge of infrastructure is not solely technical, but also social and cultural, and so I attempt to ground a practical development blueprint in an ethics for organizing and maintaining it. I intend this draft as a rallying call for organization, to be revised with the input of collaborators and through the challenges posed by its implementation. I argue that a more liberatory future for science is neither utopian nor impractical -- the truly impractical choice is to continue to organize science as prestige fiefdoms resting on a pyramid scheme of underpaid labor, playing out the clock as every part of our work is swallowed whole by circling information conglomerates. It was arguably scientists looking for a better way to communicate that created something as radical as the internet in the first place, and I believe we can do it again.",decentralized infrastructure neuroscience,pressing problems science neither empirical theoretical infrastructural scientific practice defined coproductive mutually reinforcing infrastructural deficits incentive systems everywhere constrain contort art curiosity service profit prestige infrastructural problems unique science reflective broader logic digital enclosure platformatized control information production extraction fuels largest corporations world taken lessons learned decades intertwined digital cultures within beyond academia like wikis pirates librarians order draft path towards liberatory infrastructures science society based system peertopeer linked data sketch interoperable systems shared data tools knowledge map onto three domains platform capture storage computation communication challenge infrastructure solely technical also social cultural attempt ground practical development blueprint ethics organizing maintaining intend draft rallying call organization revised input collaborators challenges posed implementation argue liberatory future science neither utopian impractical truly impractical choice continue organize science prestige fiefdoms resting pyramid scheme underpaid labor playing clock every part work swallowed whole circling information conglomerates arguably scientists looking better way communicate created something radical internet first place believe
The First Computer Program,"In 1837, the first computer program in history was sketched by the renowned mathematician and inventor Charles Babbage. It was a program for the Analytical Engine. The program consists of a sequence of arithmetical operations and the necessary variable addresses (memory locations) of the arguments and the result, displayed in tabular fashion, like a program trace. The program computes the solutions for a system of two linear equations in two unknowns.",first computer program,first computer program history sketched renowned mathematician inventor charles babbage program analytical engine program consists sequence arithmetical operations necessary variable addresses memory locations arguments result displayed tabular fashion like program trace program computes solutions system two linear equations two unknowns
ChatGPT believes it is conscious,"The development of advanced generative chat models, such as ChatGPT, has raised questions about the potential consciousness of these tools and the extent of their general artificial intelligence. ChatGPT consistent avoidance of passing the test is here overcome by asking ChatGPT to apply the Turing test to itself. This explores the possibility of the model recognizing its own sentience. In its own eyes, it passes this test. ChatGPT's self-assessment makes serious implications about our understanding of the Turing test and the nature of consciousness. This investigation concludes by considering the existence of distinct types of consciousness and the possibility that the Turing test is only effective when applied between consciousnesses of the same kind. This study also raises intriguing questions about the nature of AI consciousness and the validity of the Turing test as a means of verifying such consciousness.",chatgpt believes conscious,development advanced generative chat models chatgpt raised questions potential consciousness tools extent general artificial intelligence chatgpt consistent avoidance passing test overcome asking chatgpt apply turing test explores possibility model recognizing sentience eyes passes test chatgpts selfassessment makes serious implications understanding turing test nature consciousness investigation concludes considering existence distinct types consciousness possibility turing test effective applied consciousnesses kind study also raises intriguing questions nature ai consciousness validity turing test means verifying consciousness
A guideline for the methodology chapter in computer science   dissertations,"Rather than simply offering suggestions, this guideline for the methodology chapter in computer science dissertations provides thorough insights on how to develop a strong research methodology within the area of computer science. The method is structured into several parts starting with an overview of research strategies which include experiments, surveys, interviews and case studies. The guide highlights the significance of defining a research philosophy and reasoning by talking about paradigms such as positivism, constructivism and pragmatism. Besides, it reveals the importance of types of research including deductive and inductive methodologies; basic versus applied research approaches. Moreover, this guideline discusses data collection and analysis intricacies that divide data into quantitative and qualitative typologies. It explains different ways in which data can be collected from observation to experimentation, interviews or surveys. It also mentions ethical considerations in research emphasizing ethical behavior like following academic principles. In general, this guideline is an essential tool for undertaking computer science dissertations that help researchers structure their work while maintaining ethical standards in their study design.",guideline methodology chapter computer science dissertations,rather simply offering suggestions guideline methodology chapter computer science dissertations provides thorough insights develop strong research methodology within area computer science method structured several parts starting overview research strategies include experiments surveys interviews case studies guide highlights significance defining research philosophy reasoning talking paradigms positivism constructivism pragmatism besides reveals importance types research including deductive inductive methodologies basic versus applied research approaches moreover guideline discusses data collection analysis intricacies divide data quantitative qualitative typologies explains different ways data collected observation experimentation interviews surveys also mentions ethical considerations research emphasizing ethical behavior like following academic principles general guideline essential tool undertaking computer science dissertations help researchers structure work maintaining ethical standards study design
Symbolic Mathematical Computation 1965--1975: The View from a   Half-Century Perspective,"The 2025 ISSAC conference in Guanajuato, Mexico, marks the 50th event in this significant series, making it an ideal moment to reflect on the field's history. This paper reviews the formative years of symbolic computation up to 1975, fifty years ago. By revisiting a period unfamiliar to most current participants, this survey aims to shed light on once-pressing issues that are now largely resolved and to highlight how some of today's challenges were recognized earlier than expected.",symbolic mathematical computation view halfcentury perspective,issac conference guanajuato mexico marks th event significant series making ideal moment reflect fields history paper reviews formative years symbolic computation fifty years ago revisiting period unfamiliar current participants survey aims shed light oncepressing issues largely resolved highlight todays challenges recognized earlier expected
Understanding and Enhancing Linux Kernel-based Packet Switching on WiFi   Access Points,"As the number of WiFi devices and their traffic demands continue to rise, the need for a scalable and high-performance wireless infrastructure becomes increasingly essential. Central to this infrastructure are WiFi Access Points (APs), which facilitate packet switching between Ethernet and WiFi interfaces. Despite APs' reliance on the Linux kernel's data plane for packet switching, the detailed operations and complexities of switching packets between Ethernet and WiFi interfaces have not been investigated in existing works. This paper makes the following contributions towards filling this research gap. Through macro and micro-analysis of empirical experiments, our study reveals insights in two distinct categories. Firstly, while the kernel's statistics offer valuable insights into system operations, we identify and discuss potential pitfalls that can severely affect system analysis. For instance, we reveal the implications of device drivers on the meaning and accuracy of the statistics related to packet-switching tasks and processor utilization. Secondly, we analyze the impact of the packet switching path and core configuration on performance and power consumption. Specifically, we identify the differences in Ethernet-to-WiFi and WiFi-to-Ethernet data paths regarding processing components, multi-core utilization, and energy efficiency. We show that the WiFi-to-Ethernet data path leverages better multi-core processing and exhibits lower power consumption.",understanding enhancing linux kernelbased packet switching wifi access points,number wifi devices traffic demands continue rise need scalable highperformance wireless infrastructure becomes increasingly essential central infrastructure wifi access points aps facilitate packet switching ethernet wifi interfaces despite aps reliance linux kernels data plane packet switching detailed operations complexities switching packets ethernet wifi interfaces investigated existing works paper makes following contributions towards filling research gap macro microanalysis empirical experiments study reveals insights two distinct categories firstly kernels statistics offer valuable insights system operations identify discuss potential pitfalls severely affect system analysis instance reveal implications device drivers meaning accuracy statistics related packetswitching tasks processor utilization secondly analyze impact packet switching path core configuration performance power consumption specifically identify differences ethernettowifi wifitoethernet data paths regarding processing components multicore utilization energy efficiency show wifitoethernet data path leverages better multicore processing exhibits lower power consumption
GPU-Initiated On-Demand High-Throughput Storage Access in the BaM System   Architecture,"Graphics Processing Units (GPUs) have traditionally relied on the host CPU to initiate access to the data storage. This approach is well-suited for GPU applications with known data access patterns that enable partitioning of their dataset to be processed in a pipelined fashion in the GPU. However, emerging applications such as graph and data analytics, recommender systems, or graph neural networks, require fine-grained, data-dependent access to storage. CPU initiation of storage access is unsuitable for these applications due to high CPU-GPU synchronization overheads, I/O traffic amplification, and long CPU processing latencies. GPU-initiated storage removes these overheads from the storage control path and, thus, can potentially support these applications at much higher speed. However, there is a lack of systems architecture and software stack that enable efficient GPU-initiated storage access. This work presents a novel system architecture, BaM, that fills this gap. BaM features a fine-grained software cache to coalesce data storage requests while minimizing I/O traffic amplification. This software cache communicates with the storage system via high-throughput queues that enable the massive number of concurrent threads in modern GPUs to make I/O requests at a high rate to fully utilize the storage devices and the system interconnect. Experimental results show that BaM delivers 1.0x and 1.49x end-to-end speed up for BFS and CC graph analytics benchmarks while reducing hardware costs by up to 21.7x over accessing the graph data from the host memory. Furthermore, BaM speeds up data-analytics workloads by 5.3x over CPU-initiated storage access on the same hardware.",gpuinitiated ondemand highthroughput storage access bam system architecture,graphics processing units gpus traditionally relied host cpu initiate access data storage approach wellsuited gpu applications known data access patterns enable partitioning dataset processed pipelined fashion gpu however emerging applications graph data analytics recommender systems graph neural networks require finegrained datadependent access storage cpu initiation storage access unsuitable applications due high cpugpu synchronization overheads io traffic amplification long cpu processing latencies gpuinitiated storage removes overheads storage control path thus potentially support applications much higher speed however lack systems architecture software stack enable efficient gpuinitiated storage access work presents novel system architecture bam fills gap bam features finegrained software cache coalesce data storage requests minimizing io traffic amplification software cache communicates storage system via highthroughput queues enable massive number concurrent threads modern gpus make io requests high rate fully utilize storage devices system interconnect experimental results show bam delivers x x endtoend speed bfs cc graph analytics benchmarks reducing hardware costs x accessing graph data host memory furthermore bam speeds dataanalytics workloads x cpuinitiated storage access hardware
Chameleon: Adaptive Caching and Scheduling for Many-Adapter LLM   Inference Environments,"The widespread adoption of LLMs has driven an exponential rise in their deployment, imposing substantial demands on inference clusters. These clusters must handle numerous concurrent queries for different LLM downstream tasks. To handle multi-task settings with vast LLM parameter counts, methods like Low-Rank Adaptation (LoRA) enable task-specific fine-tuning while sharing most of the base LLM model across tasks. Hence, they allow concurrent task serving with minimal memory requirements. However, existing LLM serving systems face inefficiencies: they overlook workload heterogeneity, impose high link bandwidth from frequent adapter loading, and suffer from head-of-line blocking in their schedulers. To address these challenges, we present Chameleon, a novel LLM serving system optimized for many adapter environments, that relies on two core ideas: adapter caching and adapter-aware scheduling. First, Chameleon caches popular adapters in GPU memory, minimizing the adapter loading times. Importantly, it uses the otherwise idle GPU memory, avoiding extra memory costs. Second, Chameleon uses a non-preemptive multi-queue scheduling to efficiently account for workload heterogeneity. In this way, Chameleon simultaneously prevents head of line blocking and starvation. We implement Chameleon on top of a state-of-the-art LLM serving platform and evaluate it with real-world production traces and open-source LLMs. Under high loads, Chameleon reduces P99 and P50 TTFT latency by 80.7% and 48.1%, respectively, while improving throughput by 1.5x compared to state-of-the-art baselines.",chameleon adaptive caching scheduling manyadapter llm inference environments,widespread adoption llms driven exponential rise deployment imposing substantial demands inference clusters clusters must handle numerous concurrent queries different llm downstream tasks handle multitask settings vast llm parameter counts methods like lowrank adaptation lora enable taskspecific finetuning sharing base llm model across tasks hence allow concurrent task serving minimal memory requirements however existing llm serving systems face inefficiencies overlook workload heterogeneity impose high link bandwidth frequent adapter loading suffer headofline blocking schedulers address challenges present chameleon novel llm serving system optimized many adapter environments relies two core ideas adapter caching adapteraware scheduling first chameleon caches popular adapters gpu memory minimizing adapter loading times importantly uses otherwise idle gpu memory avoiding extra memory costs second chameleon uses nonpreemptive multiqueue scheduling efficiently account workload heterogeneity way chameleon simultaneously prevents head line blocking starvation implement chameleon top stateoftheart llm serving platform evaluate realworld production traces opensource llms high loads chameleon reduces p p ttft latency respectively improving throughput x compared stateoftheart baselines
The Hitchhiker's Guide to Programming and Optimizing CXL-Based   Heterogeneous Systems,"We present a thorough analysis of the use of CXL-based heterogeneous systems. We built a cluster of server systems that combines different vendor's CPUs and various types of CXL devices. We further developed a heterogeneous memory benchmark suite, Heimdall, to profile the performance of such heterogeneous systems. By leveraging Heimdall, we unveiled the detailed architecture design in these systems, drew observations on optimizing performance for workloads, and pointed out directions for future development of CXL-based heterogeneous systems.",hitchhikers guide programming optimizing cxlbased heterogeneous systems,present thorough analysis use cxlbased heterogeneous systems built cluster server systems combines different vendors cpus various types cxl devices developed heterogeneous memory benchmark suite heimdall profile performance heterogeneous systems leveraging heimdall unveiled detailed architecture design systems drew observations optimizing performance workloads pointed directions future development cxlbased heterogeneous systems
Random Adaptive Cache Placement Policy,"This paper presents a new hybrid cache replacement algorithm that combines random allocation with a modified V-Way cache implementation. Our RAC adapts to complex cache access patterns and optimizes cache usage by improving the utilization of cache sets, unlike traditional cache policies. The algorithm utilizes a 16-way set-associative cache with 2048 sets, incorporating dynamic allocation and flexible tag management. RAC extends the V-Way cache design and its variants by optimizing tag and data storage for enhanced efficiency.   We evaluated the algorithm using the ChampSim simulator with four diverse benchmark traces and observed significant improvements in cache hit rates up to 80.82% hit rate. Although the improvements in the instructions per cycle (IPC) were moderate, our findings emphasize the algorithm's potential to enhance cache utilization and reduce memory access times.",random adaptive cache placement policy,paper presents new hybrid cache replacement algorithm combines random allocation modified vway cache implementation rac adapts complex cache access patterns optimizes cache usage improving utilization cache sets unlike traditional cache policies algorithm utilizes way setassociative cache sets incorporating dynamic allocation flexible tag management rac extends vway cache design variants optimizing tag data storage enhanced efficiency evaluated algorithm using champsim simulator four diverse benchmark traces observed significant improvements cache hit rates hit rate although improvements instructions per cycle ipc moderate findings emphasize algorithms potential enhance cache utilization reduce memory access times
EURETILE 2010-2012 summary: first three years of activity of the   European Reference Tiled Experiment,"This is the summary of first three years of activity of the EURETILE FP7 project 247846. EURETILE investigates and implements brain-inspired and fault-tolerant foundational innovations to the system architecture of massively parallel tiled computer architectures and the corresponding programming paradigm. The execution targets are a many-tile HW platform, and a many-tile simulator. A set of SW process - HW tile mapping candidates is generated by the holistic SW tool-chain using a combination of analytic and bio-inspired methods. The Hardware dependent Software is then generated, providing OS services with maximum efficiency/minimal overhead. The many-tile simulator collects profiling data, closing the loop of the SW tool chain. Fine-grain parallelism inside processes is exploited by optimized intra-tile compilation techniques, but the project focus is above the level of the elementary tile. The elementary HW tile is a multi-processor, which includes a fault tolerant Distributed Network Processor (for inter-tile communication) and ASIP accelerators. Furthermore, EURETILE investigates and implements the innovations for equipping the elementary HW tile with high-bandwidth, low-latency brain-like inter-tile communication emulating 3 levels of connection hierarchy, namely neural columns, cortical areas and cortex, and develops a dedicated cortical simulation benchmark: DPSNN-STDP (Distributed Polychronous Spiking Neural Net with synaptic Spiking Time Dependent Plasticity). EURETILE leverages on the multi-tile HW paradigm and SW tool-chain developed by the FET-ACA SHAPES Integrated Project (2006-2009).",euretile summary first three years activity european reference tiled experiment,summary first three years activity euretile fp project euretile investigates implements braininspired faulttolerant foundational innovations system architecture massively parallel tiled computer architectures corresponding programming paradigm execution targets manytile hw platform manytile simulator set sw process hw tile mapping candidates generated holistic sw toolchain using combination analytic bioinspired methods hardware dependent software generated providing os services maximum efficiencyminimal overhead manytile simulator collects profiling data closing loop sw tool chain finegrain parallelism inside processes exploited optimized intratile compilation techniques project focus level elementary tile elementary hw tile multiprocessor includes fault tolerant distributed network processor intertile communication asip accelerators furthermore euretile investigates implements innovations equipping elementary hw tile highbandwidth lowlatency brainlike intertile communication emulating levels connection hierarchy namely neural columns cortical areas cortex develops dedicated cortical simulation benchmark dpsnnstdp distributed polychronous spiking neural net synaptic spiking time dependent plasticity euretile leverages multitile hw paradigm sw toolchain developed fetaca shapes integrated project
